StockCode,Description,AvgPrice,TotalQuantitySold,UniqueCustomers
10002,inflatable political globe,0.8409602649006622,8479,164
10080,groovy cactus inflatable,0.5092592592592593,303,23
10120,doggy rubber,0.21,648,52
10123C,hearts wrapping tape,0.6217391304347827,628,39
10123G,army camo wrapping tape,0.5592307692307693,2246,12
10124A,spots on red bookcover tape,0.42,58,18
10124G,army camo bookcover tape,0.42,32,9
10125,mini funky design tapes,0.8158730158730159,1970,87
10133,colouring pencils brown tube,0.655320197044335,3307,153
10134,colouring pencils brown tube,1.2424,612,44
10135,colouring pencils brown tube,1.2218650793650794,3887,178
10138,assorted colour jumbo pen,0.42,247,14
11001,asstd design racing car pen,1.7286338797814207,4273,118
15030,fan black frame,0.29,254,23
15034,paper pocket traveling fan,0.13797687861271676,9818,123
15036,assorted colours silk fan,0.7659527559055118,40994,303
15039,sandalwood fan,0.8306593406593407,4146,127
15044A,pink paper parasol,2.95659793814433,4894,116
15044B,blue paper parasol,2.9202702702702705,1624,97
15044C,purple paper parasol,2.932608695652174,862,100
15044D,red paper parasol,2.9333684210526316,1544,105
15056BL,edwardian parasol black,5.794080100125157,9351,321
15056N,edwardian parasol natural,5.787598152424943,10948,347
15056P,edwardian parasol pink,5.843975155279503,2436,186
15058A,blue white spots garden parasol,7.187383177570094,419,76
15058B,pink white spots garden parasol,7.488461538461539,301,65
15058C,ice cream design garden parasol,6.597887323943662,413,56
15060B,fairy cake design umbrella,3.7656204379562044,1137,174
16008,small folding scissorpointed edge,0.15623529411764706,3141,64
16011,animal stickers,0.20955357142857142,3812,83
16012,fooddrink spunge stickers,0.20939759036144578,2877,67
16014,small chinese style scissor,0.39499999999999996,29354,46
16015,medium chinese style scissor,0.4870769230769231,1572,40
16016,large chinese style scissor,0.840095238095238,2307,57
16020C,clear stationery box set,0.85,82,22
16033,mini highlighter pens,0.1163265306122449,15001,43
16043,pop art push down rubber,0.31,2142,11
16045,popart wooden pencils asst,0.04767123287671233,9300,65
16046,teatime pen case  pens,0.7491666666666666,9949,44
16047,pop art pen case  pens,0.7830434782608695,10587,21
16048,teatime round pencil sharpener,0.19285714285714287,3413,59
16049,teatime gel pens asst,0.27599999999999997,3144,22
16052,teatime push down rubber,0.3871428571428571,810,18
16053,popart col ballpoint pen asst,0.16499999999999998,4298,8
16054,popart rect pencil sharpener asst,0.16054054054054054,1205,32
16119,funky girl address book,1.0014285714285713,271,7
16151A,flower des blue handbagorang handl,2.25,52,5
16156L,wrap carousel,0.42,950,33
16156N,wrap friendship on green,0.42,1450,51
16156S,wrap pink fairy cakes,0.41529976019184656,16586,271
16161E,wrap boudoir,0.1,750,8
16161G,wrap bad hair day,0.1,975,31
16161M,wrap  pink flock,0.41794871794871796,1050,36
16161P,wrap english rose,0.41895454545454547,13198,289
16161U,wrapsuki and friends,0.4180441640378548,10001,203
16162L,the king gift bag,0.5182352941176471,8083,16
16162M,the king gift bag 25x24x12cm,0.42,86,10
16168M,funky monkey gift bag medium,0.389811320754717,1578,42
16169C,wrap blue reindeer,0.42,1350,42
16169D,wrap winter forest,0.42,250,9
16169E,wrap 50s  christmas,0.41919999999999996,4563,143
16169F,wrap blizzard,0.42,975,34
16169K,wrap folk art,0.3615254237288135,2050,56
16169M,wrap daisy carpet,0.35483333333333333,2060,56
16169N,wrap blue russian folkart,0.3501785714285714,2025,52
16169P,wrap green russian folkart,0.3577083333333333,1750,46
16201A,pastel pink photo album,2.55,100,7
16202A,pastel pink photo album,3.694210526315789,660,16
16202B,pastel blue photo album,3.191111111111111,1034,13
16202C,beige photo album,3.0300000000000002,94,10
16202E,black photo album,2.723076923076923,81,12
16206B,red purse with pink heart,1.23125,96,14
16207A,pink strawberry handbag,2.95,55,17
16207B,pink heart red handbag,2.5200000000000005,211,12
16212,funky girlz asst magnetic memo pad,0.65,357,29
16216,letter shape pencil sharpener,0.12607594936708863,4135,69
16218,cartoon  pencil sharpeners,0.098,4525,60
16219,house shape pencil sharpener,0.12515151515151515,3206,58
16225,rattle snake eggs,1.1831858407079645,1420,90
16235,recycled pencil with rabbit eraser,0.21164634146341463,5088,124
16236,kitty pencil erasers,0.20965986394557823,2425,108
16237,sleeping cat erasers,0.20797101449275363,9730,209
16238,party time pencil erasers,0.2250735294117647,2232,104
16239,ballerina heart decoration,2.6884615384615387,338,13
16244A,maxwell 2 tone pink 60 page photo a,3.483333333333333,142,6
16244B,maxwell 2 tone blue 60 page photo a,2.91875,309,8
16245A,pink mini stationery set w case,1.25,11,7
16248B,blue hole punch,1.25,81,12
16254,transparent acrylic tape dispenser,0.898,912,17
16256B,flower pencilrubber5 mini pencils,0.42000000000000004,493,17
16256C,hearts pencilrubber5 mini pencils,0.42000000000000004,169,8
16258A,swirly circular rubbers in bag,0.4244736842105263,1026,58
16258B,daisy erasers in bag,0.2885714285714286,1014,13
16259,piece of camo stationery set,0.14618181818181816,5473,46
17001,heavens scent fragrance oils asstd,0.27956521739130435,1211,20
17003,brocade ring purse,0.26536895674300254,70082,215
17007B,s3 pot pouri cushions blue colours,2.1,34,6
17011A,origami vanilla incenseflower,1.3166666666666667,254,6
17011F,origami sandlewood incenseflower,1.4233333333333333,380,15
17012A,origami vanilla incensecandle set,1.3257142857142856,644,30
17012B,origami jasmine incensecandle set,1.3385416666666667,617,43
17012C,origami lavender incensecandl set,1.3901785714285713,777,47
17012D,origami rose incensecandle set,1.25,426,41
17012E,origami opium incensecandle set,2.2375,240,12
17012F,origami sandlewood incensecand set,1.0957446808510638,493,38
17013D,origami rose incense in tube,1.0,1048,17
17014A,origami vanilla incense cones,0.7022222222222222,247,9
17014D,origami rose incense cones,1.015,476,5
17021,namaste swagat incense,0.2948780487804878,3714,45
17033,brocade pursesmall arch button,0.2852941176470588,3279,58
17038,porcelain budah incense holder,0.093,2524,21
17039,inlaid wood incense holder,0.27399999999999997,3641,20
17084A,tranquility masala incense,0.21,442,14
17084J,love potion masala incense,0.21,454,17
17084N,fairy dreams incense,0.20776119402985074,2391,42
17084P,dragons blood incense,0.20807692307692308,874,23
17084R,assorted incense pack,0.20318181818181819,10625,29
17090A,lavender incense 40 cones in tin,1.2038461538461538,173,24
17090D,vanilla incense 40 cones in tin,1.2366666666666668,88,21
17091A,lavender incense in tin,0.9342727272727273,2073,78
17091B,jasmine tea incense in tin,1.2227272727272727,264,35
17091F,sandalwood incense in tin,1.25,16,6
17091J,vanilla incense in tin,0.731987951807229,3931,108
17096,assorted laquered incense holders,0.19857142857142857,6157,25
17107D,flower fairy5 summer bdraw liners,2.55,306,68
17108D,flower fairy summer bouquet sachet,0.42,355,17
17109A,flower fairy incense lily,1.1861538461538461,709,12
17109B,flower fairy incense lavender,1.184375,4541,13
17109C,flower fairy incense rose,1.238,3124,13
17109D,flower fairy incense bouquet,1.3005405405405406,1253,33
17129C,sky blue colour glass gems in bag,0.829,84,7
17129D,clear colour glass gems in bag,0.7615789473684211,518,12
17129F,deep blue glass gems in bag,0.7821428571428571,940,19
17136A,blue stones on wire for candle,0.10676470588235294,743,28
17164B,ass col small sand gecko pweight,0.41740740740740745,1584,64
17164D,ass col small sand frog pweight,0.415,1144,26
17165B,ass col large sand gecko pweight,1.0295,809,43
17165D,ass col large sand frog pweight,1.0346236559139785,716,62
17174,asstd rasta keychains,0.42,36,7
17178,flat palm tlight holder,1.234,133,20
17181,circle of friends candle holder,2.1533333333333333,294,26
